District,RegVoters,AMURIAT OBOI PATRICK,KABULETA KIIZA JOSEPH,KALEMBE NANCY LINDA,KATUMBA JOHN,KYAGULANYI SSENTAMU ROBERT,MAO NORBERT,MAYAMBALA WILLY,MUGISHA MUNTU GREGG,MWESIGYE FRED,TUMUKUNDE HENRY KAKURUGU,YOWERI MUSEVENI  KAGUTA,Valid Votes,InvalidVotes,Total Votes,Received Station,DintVote,Percentage,color
071 AMURU,87122,3825,476,267,238,7466,2334,381,492,321,476,18742,35018,3103,38121,"170/
170",49001,56.24, #ff0069
072 BUDAKA,100900,825,307,357,181,27281,157,184,193,326,258,33261,63330,0,63330,"190/
190",37570,37.23, #ff0070
073 BULIISA,44869,355,194,86,50,6152,89,17,104,80,187,19316,26630,1696,28326,"96/
96",16543,36.87, #ff0071
074 DOKOLO,93712,2542,870,222,310,15364,420,163,492,264,771,36774,58192,2142,60334,"173/
173",33378,35.62, #ff0072
075 NAMUTUMBA,121149,537,219,595,157,27504,151,131,196,350,224,38427,68491,2936,71427,"243/
243",49722,41.04, #ff0073
076 OYAM,184088,1450,587,1762,545,27351,819,236,992,490,939,62292,97463,5411,102874,"334/
334",81214,44.12, #ff0074
077 MARACHA,101182,1100,364,840,282,10127,388,248,527,263,493,33674,48306,4764,53070,"202/
202",48112,47.55, #ff0075
078 BUDUDA,73039,421,83,85,62,14666,57,31,87,81,318,29224,45115,1432,46547,"208/
208",26492,36.27, #ff0076
079 BUKEDEA,99828,14331,389,64,126,4980,118,46,227,246,459,37590,58576,3148,61724,"180/
180",38104,38.17, #ff0077
080 LYANTONDE,51076,117,61,30,69,7726,25,24,137,57,58,23967,32271,798,33069,"111/
112",18007,35.26, #ff0078
081 AMUDAT,43647,47,4,6,6,625,7,4,10,20,27,30451,31207,246,31453,"120/
120",12194,27.94, #ff0079
082 BUIKWE,235640,1039,219,314,382,81852,388,68,259,152,206,40900,125779,5430,131209,"432/
432",104431,44.32, #ff0080
083 BUYENDE,138849,624,298,516,209,30252,130,64,266,163,393,47916,80831,4134,84965,"281/
281",53884,38.81, #ff0081
084 KYEGEGWA,138528,451,60,103,171,10656,74,25,422,100,338,69129,81529,3040,84569,"255/
255",53959,38.95, #ff0082
085 LAMWO,65223,1183,545,679,220,8621,1981,185,403,250,452,19322,33841,2837,36678,"169/
171",28545,43.77, #ff0083
086 OTUKE,48541,502,195,124,143,4949,175,63,165,73,225,25464,32078,1941,34019,"130/
130",14522,29.92, #ff0084
087 ZOMBO,123432,1260,421,434,310,9111,1176,207,498,305,606,45578,59906,4685,64591,"220/
220",58841,47.67, #ff0085
